hostname,sy_snum,sy_pnum,pl_bmasse,pl_bmassj,st_mass
HAT-P-52,1,1,259.98494,0.81800,0.89
HAT-P-53,1,1,471.65972,1.48400,1.09
HAT-P-54,1,1,241.55080,0.76000,0.65
HAT-P-55,1,1,184.97706,0.58200,1.01
HAT-P-56,1,1,734.18730,2.31000,1.42
HAT-P-6,1,1,419.53560,1.32000,1.79
HAT-P-65,1,1,167.49641,0.52700,1.21
HAT-P-66,1,1,248.86089,0.78300,1.25
HAT-P-68,1,1,230.10892,0.72400,0.68
HAT-P-69,1,1,1137.83140,3.58000,1.65
HAT-P-70,1,1,2154.88740,6.78000,1.89
HAT-P-9,1,1,238.05467,0.74900,1.28
HATS-1,1,1,589.55000,1.85500,0.99
HATS-10,1,1,167.17858,0.52600,1.10
HATS-11,1,1,263.79890,0.83000,1.33
HATS-12,1,1,759.61370,2.39000,1.16
HATS-13,1,1,172.58169,0.54300,0.96
HATS-14,1,1,340.39593,1.07100,0.97
HATS-15,1,1,689.69110,2.17000,0.87
HATS-16,1,1,1039.30410,3.27000,0.97
HATS-17,1,1,425.25654,1.33800,1.13
HATS-18,1,1,629.14449,1.97950,1.04
HATS-2,1,1,427.46300,1.34500,0.88
HATS-22,1,1,870.85420,2.74000,0.76
HATS-23,1,1,467.21010,1.47000,1.12
HATS-24,1,1,718.29580,2.26000,1.07
HATS-25,1,1,194.82979,0.61300,0.99
HATS-26,1,1,206.58950,0.65000,1.30
HATS-27,1,1,168.44990,0.53000,1.42
HATS-28,1,1,213.58176,0.67200,0.93
HATS-29,1,1,207.54299,0.65300,1.03
HATS-3,1,1,340.38200,1.07100,1.21
HATS-31,1,1,279.69040,0.88000,1.27
HATS-32,1,1,292.40360,0.92000,1.10
HATS-33,1,1,378.85336,1.19200,1.06
HATS-34,1,1,299.07803,0.94100,0.95
HATS-35,1,1,388.38826,1.22200,1.32
HATS-36,1,1,1022.14128,3.21600,1.10
HATS-38,1,1,23.51942,0.07400,0.89
HATS-39,1,1,200.23290,0.63000,1.38
HATS-4,1,1,420.47100,1.32300,1.00
HATS-40,1,1,505.34970,1.59000,1.56
HATS-41,1,1,3082.95100,9.70000,1.50
HATS-42,1,1,597.52040,1.88000,1.27
HATS-43,1,1,82.95363,0.26100,0.84
HATS-44,1,1,177.98480,0.56000,0.86
HATS-45,1,1,222.48100,0.70000,1.27
HATS-46,1,1,54.98459,0.17300,0.92
HATS-47,1,1,117.27927,0.36900,0.67
HATS-49,1,1,112.19399,0.35300,0.71
HATS-5,1,1,75.32300,0.23700,0.94
HATS-50,1,1,123.95370,0.39000,1.17
HATS-51,1,1,244.09344,0.76800,1.19
HATS-52,1,1,711.93920,2.24000,1.11
HATS-53,1,1,189.10885,0.59500,0.96
HATS-54,1,1,241.55080,0.76000,1.10
HATS-55,1,1,292.72143,0.92100,1.20
HATS-56,1,1,191.33366,0.60200,1.57
HATS-57,1,1,1000.21101,3.14700,1.03
HATS-59,1,2,256.17098,0.80600,1.04
HATS-59,1,2,4036.44100,12.70000,1.04
HATS-6,1,1,101.38777,0.31900,0.57
HATS-60,1,1,210.40346,0.66200,1.10
HATS-61,1,1,1080.62200,3.40000,1.08
HATS-62,1,1,56.89157,0.17900,0.90
HATS-63,1,1,305.11680,0.96000,0.93
HATS-64,1,1,305.11680,0.96000,1.56
HATS-66,1,1,1694.03390,5.33000,1.41
HATS-67,1,1,460.85350,1.45000,1.44
HATS-68,1,1,410.00070,1.29000,1.35
HATS-69,1,1,183.38791,0.57700,0.89
HATS-7,1,1,38.13960,0.12000,0.85
HATS-70,1,1,4100.00700,12.90000,1.78
HATS-71,1,1,117.59710,0.37000,0.49
HATS-72,1,1,39.85588,0.12540,0.73
HATS-8,1,1,43.86054,0.13800,1.06
HATS-9,1,1,266.02371,0.83700,1.10
HD 100546,1,1,239000.00000,752.00000,2.40
HD 100777,1,1,327.36490,1.03000,0.83
HD 10180,1,6,13.10000,0.04122,1.06
HD 10180,1,6,11.75000,0.03697,1.06
HD 10180,1,6,25.10000,0.07900,1.06
HD 10180,1,6,23.90000,0.07520,1.06
HD 10180,1,6,21.40000,0.06730,1.06
HD 10180,1,6,64.40000,0.20300,1.06
HD 102117,1,1,54.03110,0.17000,1.06
HD 102195,1,1,130.31030,0.41000,0.76
HD 102272,1,1,1570.08020,4.94000,1.45
HD 102329,1,2,2593.49280,8.16000,3.21
HD 102329,1,2,483.10160,1.52000,1.30
HD 102843,1,1,113.90000,0.35837,0.95
HD 103197,1,1,28.60470,0.09000,0.80
HD 103720,1,1,197.04600,0.62000,0.79
HD 103949,1,1,11.20000,0.03524,0.77
HD 104067,1,1,50.85280,0.16000,0.62
HD 10442,1,1,472.61321,1.48700,1.01
HD 104985,1,1,2637.90000,8.30000,2.30
HD 106252,1,1,2202.56190,6.93000,1.01
HD 106270,1,1,3219.61790,10.13000,1.39
HD 106315,1,2,12.60000,0.03964,1.09
HD 106315,1,2,15.20000,0.04782,1.09
HD 10647,1,1,298.75000,0.94000,1.11
HD 106906,1,1,3496.00000,11.00000,1.50
HD 10697,1,1,2028.70889,6.38300,1.13
HD 108147,1,1,82.95000,0.26100,1.22
HD 108236,1,5,3.24000,0.01020,0.87
HD 108236,1,5,4.94000,0.01550,0.87
HD 108236,1,5,6.98000,0.02200,0.87
