sy_snum,sy_pnum,pl_orbper,pl_rade,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg
1,1,2.54418280,11.960,0.770000,0.126000,1625,5702.00,1.32,1.10,0.396,[Fe/H],4.24
1,1,4.20420010,14.022,0.587000,0.092000,1367,6214.00,1.13,1.20,0.108,[Fe/H],4.41
1,1,4.32479900,18.921,0.155000,0.019000,1902,6536.00,2.20,1.57,0.190,[Fe/H],3.95
1,1,2.35062100,12.767,2.650000,0.028000,1413,5587.00,0.96,1.03,0.268,[Fe/H],4.48
1,1,3.32527250,11.187,0.399000,0.000000,713,3724.00,0.57,0.57,0.200,[Fe/H],4.68
1,1,3.56082900,12.924,0.537000,0.191000,1528,5688.00,1.46,1.10,0.335,[Fe/H],4.15
1,1,7.81795300,13.395,2.470000,0.092000,1226,5542.00,1.66,1.08,0.247,[Fe/H],4.03
1,1,3.27688370,11.825,0.076000,0.298000,1237,5416.00,0.93,0.90,0.133,[Fe/H],4.45
1,1,3.05665270,13.529,0.670000,0.136000,1398,5627.00,1.07,0.93,0.081,[Fe/H],4.35
1,1,4.90889700,18.820,0.245000,0.151000,1793,6554.00,2.11,1.56,0.220,[Fe/H],3.98
1,1,3.14143910,15.816,2.340000,0.064000,1998,6626.00,1.84,1.41,-0.017,[Fe/H],4.06
1,1,1.60917880,18.887,0.374000,0.057000,2193,6594.00,1.44,1.44,0.332,[Fe/H],4.28
1,1,3.58622020,13.809,0.856000,0.036000,1741,6147.00,1.75,1.35,0.210,[Fe/H],4.08
1,1,2.22525770,10.593,0.460000,0.519000,1296,5137.00,0.88,0.89,0.377,[Fe/H],4.50
1,1,3.18531500,6.311,0.830000,0.170000,1084,4985.00,0.81,0.85,0.250,[Fe/H],4.54
1,1,1.88823780,15.513,6.640000,0.180000,2730,7930.00,1.88,1.78,0.041,[Fe/H],4.17
1,1,3.79552020,11.478,0.420000,0.000000,587,3405.00,0.48,0.49,0.170,[Fe/H],4.77
1,1,7.32794740,8.097,0.411000,0.013000,739,4656.10,0.72,0.73,0.099,[Fe/H],4.59
1,1,3.58389300,9.785,0.259000,0.376000,1324,5679.00,1.09,1.06,0.210,[Fe/H],4.39
1,1,1.91529100,13.850,0.626000,0.075000,1746,5599.00,1.56,1.10,0.380,[Fe/H],4.10
1,1,,77.342,2.840000,,,10500.00,1.85,2.40,,,4.33
1,1,383.70001000,13.800,0.684000,0.360000,,5533.00,1.04,0.83,0.250,[Fe/H],4.32
1,1,20.81330000,8.470,0.489000,0.120000,,5655.00,1.23,1.06,0.280,[Fe/H],4.29
1,1,4.11377000,14.200,0.250000,0.000000,,5301.00,0.82,0.76,0.040,[Fe/H],4.49
1,1,127.58000000,12.900,4.020000,0.050000,,4790.00,10.30,1.45,-0.410,[Fe/H],2.58
1,1,3090.94200000,13.100,0.278000,0.110000,,5436.00,0.96,0.95,0.160,[M/H],4.46
1,1,47.84000000,5.830,0.793000,0.000000,,5250.00,0.88,0.80,0.220,[Fe/H],4.45
1,1,4.55570000,14.100,0.386000,0.086000,,5017.00,0.73,0.79,-0.020,[Fe/H],4.43
1,1,120.87800000,3.350,1.640000,0.190000,,4792.00,0.75,0.77,-0.070,[M/H],4.59
1,1,55.80600000,8.180,0.511000,0.000000,,4937.00,0.74,0.62,0.000,[Fe/H],4.49
1,1,1032.30000000,13.600,1.030000,0.132000,,4912.00,1.97,1.01,0.110,[Fe/H],3.19
1,1,199.50500000,12.600,7.250000,0.090000,,4877.00,11.00,2.30,-0.150,[Fe/H],2.85
1,1,1531.00000000,12.700,5.910000,0.480000,,5874.00,1.10,1.01,-0.060,[Fe/H],4.36
1,1,1888.00000000,12.500,9.060000,0.185000,,5509.00,2.66,1.39,0.080,[Fe/H],3.72
1,1,989.20000000,13.800,0.625000,0.150000,,6218.00,1.10,1.11,0.000,[Fe/H],4.62
1,1,,12.400,10.100000,,1800,6516.00,2.12,1.50,0.040,[Fe/H],3.90
1,1,1075.69000000,12.700,5.440000,0.104300,,5600.00,1.79,1.13,0.170,[Fe/H],3.96
1,1,10.89850000,10.900,0.352000,0.530000,890,6255.73,1.21,1.22,0.180,[M/H],4.36
1,1,437.70000000,13.300,1.790000,0.032000,,4878.00,5.74,1.59,0.200,[Fe/H],3.07
1,1,68.27000000,13.900,0.559000,0.120000,,5844.00,1.07,1.20,0.100,[Fe/H],4.46
1,1,835.47700000,12.400,10.200000,0.462000,,4445.00,20.90,2.17,0.190,[Fe/H],2.10
1,1,1143.00000000,12.700,6.090000,0.200000,,5512.00,0.90,0.84,-0.430,[Fe/H],4.45
1,1,1056.40000000,12.900,3.580000,0.260000,,4884.00,8.03,1.94,0.070,[Fe/H],3.10
1,1,825.90000000,12.900,3.670000,0.030000,,6557.00,1.45,1.18,0.070,[Fe/H],4.19
1,1,613.20000000,12.900,4.070000,0.240000,,4155.00,39.00,1.80,-0.090,[Fe/H],1.70
1,1,324.00000000,13.200,2.150000,0.460000,,6576.60,1.50,1.40,0.070,[Fe/H],4.21
1,1,937.70001000,13.700,0.774000,0.230000,,4836.00,0.76,0.60,-0.050,[Fe/H],4.45
1,1,4000.00000000,13.100,0.277000,0.458000,,5641.00,2.14,1.27,0.180,[Fe/H],3.87
1,1,2621.75000000,13.400,1.400000,0.157000,,5732.00,1.07,1.05,0.190,[Fe/H],4.37
1,1,433.70001000,12.800,4.690000,0.190000,,4312.00,20.58,0.72,-0.740,[Fe/H],1.67
1,1,25.80000000,8.590,0.479000,0.150000,,5990.00,1.20,1.08,0.028,[M/H],4.41
1,1,6.13350000,13.200,2.120000,0.310000,,5864.00,2.06,1.84,0.230,[Fe/H],4.08
1,1,711.00000000,12.700,5.580000,0.400000,,4970.00,10.09,1.91,-0.210,[Fe/H],2.90
1,1,2082.00000000,12.900,3.660000,0.660000,,4892.00,9.12,2.39,0.090,[Fe/H],2.71
1,1,63.33000000,13.600,1.050000,0.030000,,6027.00,1.07,1.62,0.150,[Fe/H],4.59
