pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
Kepler-989 b,Kepler-989,1,1,0,7.96431535,0.073400,2.210,0.197,5.52000,0.01740,M-R relationship,0.000000,74.35,805,0,,5074.00,0.78,0.82,0.010,[Fe/H],-0.427,4.58,4.680,18.99927,,,,14.4083000
Kepler-990 b,Kepler-990,1,2,0,9.91723428,0.088300,2.600,0.232,7.27000,0.02290,M-R relationship,0.000000,157.41,903,0,,5948.00,1.08,1.05,0.010,[Fe/H],-0.050,4.39,3.550,0.60420,,,,14.4949000
Kepler-990 c,Kepler-990,1,2,0,0.53835431,0.012700,1.530,0.136,2.96000,0.00930,M-R relationship,0.000000,7609.22,2386,0,,5948.00,1.08,1.05,0.010,[Fe/H],-0.050,4.39,3.550,1.52952,,,,14.4949000
Kepler-991 b,Kepler-991,1,1,0,82.53425190,0.310400,2.540,0.227,6.99000,0.02200,M-R relationship,0.000000,1.37,260,0,,4392.00,0.61,0.64,-0.250,[Fe/H],-0.831,4.67,3.470,6.80263,,,,15.1476000
Kepler-992 b,Kepler-992,1,1,0,20.16034462,0.133900,1.620,0.145,3.26000,0.01020,M-R relationship,0.000000,15.29,510,0,,4944.00,0.74,0.80,-0.040,[Fe/H],-0.570,4.60,3.020,2.48007,,,,13.3901000
Kepler-993 b,Kepler-993,1,1,0,22.08557563,0.130000,2.970,0.265,9.11000,0.02870,M-R relationship,0.000000,3.95,352,0,,3843.00,0.54,0.57,0.030,[Fe/H],-1.229,4.72,3.890,4.12779,,,,15.9243000
Kepler-994 b,Kepler-994,1,1,0,1.15116651,0.017700,1.600,0.143,3.19000,0.01000,M-R relationship,0.000000,243.98,957,0,,3934.00,0.54,0.56,-0.130,[Fe/H],-1.139,4.72,3.240,3.88290,,,,14.4653000
Kepler-995 b,Kepler-995,1,1,0,28.26731672,0.170100,2.700,0.241,7.75000,0.02440,M-R relationship,0.000000,11.92,517,0,,5206.00,0.80,0.83,-0.070,[Fe/H],-0.419,4.57,5.010,2.68530,,,,14.8814000
Kepler-996 b,Kepler-996,1,1,0,3.77059058,0.047400,1.980,0.177,4.58000,0.01440,M-R relationship,0.000000,723.08,1272,0,,6014.00,1.14,1.09,0.030,[Fe/H],0.242,4.36,3.630,3.67551,,,,14.6387000
Kepler-997 b,Kepler-997,1,1,0,2.70730672,0.039700,1.360,0.121,2.42000,0.00761,M-R relationship,0.000000,1900.13,1709,0,,6150.00,1.56,1.22,0.050,[Fe/H],0.496,4.14,3.630,0.44755,,,-28.54,11.8477000
