pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_age,st_dens,sy_dist
EPIC 201833600 c,K2-50,1,2,3.96151000,,1.000,0.089,0.97200,0.00306,,,4292.67,0.63,0.61,-0.113,[M/H],,2.55179,257.4430000
EPIC 201841433 b,EPIC 201841433,1,1,4.16980000,0.035000,1.040,0.093,1.12000,0.00352,,,5053.00,0.63,0.80,0.000,[Fe/H],,2.65207,436.4880000
EPIC 205950854 c,K2-168,1,2,8.05072200,,1.310,0.117,2.27000,0.00714,,,5502.70,0.83,0.88,-0.130,[Fe/H],,1.27040,243.9350000
EPIC 206024342 b,EPIC 206024342,1,1,4.50756000,,1.700,0.152,3.53000,0.01110,,,5759.00,0.82,0.93,,,,2.38280,369.8880000
EPIC 206032309 b,EPIC 206032309,1,1,2.87814000,,1.010,0.090,1.01000,0.00317,,,3489.00,0.37,0.22,,,,9.77858,161.3650000
EPIC 206042996 b,EPIC 206042996,1,1,5.29711000,,1.620,0.145,3.26000,0.01020,,,4055.00,0.67,0.56,,,,2.90458,451.7690000
EPIC 206215704 b,EPIC 206215704,1,1,2.25372000,,0.900,0.080,0.66600,0.00210,,,3467.00,0.37,0.41,,,,19.87982,109.8880000
EPIC 206317286 b,EPIC 206317286,1,1,1.58252000,,0.960,0.086,0.84000,0.00264,,,4864.00,0.67,0.71,,,,2.51975,314.3500000
EPIC 211822797 b,EPIC 211822797,1,1,21.16986100,0.131000,1.980,0.177,4.58000,0.01440,0.060000,M0,4148.21,0.57,0.66,0.140,[Fe/H],0.790,3.87972,186.1970000
EPIC 211945201 b,EPIC 211945201,1,1,19.49221000,0.149300,5.760,0.514,27.00000,0.08495,0.000000,G0,6069.00,1.39,1.17,0.100,[Fe/H],3.990,2.25300,181.6900000
