pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_gaiamag
61 Vir b,61 Vir,1,1,3,4.21500000,0.050201,5.10000,0.01600,0.120000,,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,4.5405200
61 Vir c,61 Vir,1,1,3,38.02100000,0.217500,18.20000,0.05700,0.140000,,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,4.5405200
61 Vir d,61 Vir,1,1,3,123.01000000,0.476000,22.90000,0.07200,0.350000,,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,4.5405200
7 CMa b,7 CMa,0,1,2,763.00000000,1.900000,826.30000,2.60000,0.140000,,4792.00,2.30,1.52,0.210,[Fe/H],3.25,3.6785300
7 CMa b,7 CMa,0,1,2,796.00000000,1.930000,781.86180,2.46000,0.220000,,4794.52,4.91,,0.088,[M/H],,3.6785300
7 CMa b,7 CMa,1,1,2,735.10000000,1.758000,587.98550,1.85000,0.060000,,4826.00,4.87,1.34,0.210,[Fe/H],3.19,3.6785300
7 CMa c,7 CMa,1,1,2,996.00000000,2.153000,276.51210,0.87000,0.080000,,4826.00,4.87,1.34,0.210,[Fe/H],3.19,3.6785300
70 Vir b,70 Vir,0,1,1,116.68900000,0.456000,2084.88000,6.56000,0.397000,,,,,,,,4.7617800
70 Vir b,70 Vir,0,1,1,116.69260000,0.481000,2351.94200,7.40000,0.399000,,5439.00,1.94,1.09,-0.090,[Fe/H],3.90,4.7617800
70 Vir b,70 Vir,0,1,1,116.68840000,0.480000,2421.86460,7.62000,0.400000,,5531.00,1.84,1.14,-0.060,[Fe/H],3.97,4.7617800
70 Vir b,70 Vir,1,1,1,116.68800000,0.481000,2357.02728,7.41600,0.398800,,5495.00,1.89,1.09,,,3.95,4.7617800
70 Vir b,70 Vir,0,1,1,116.68840000,0.484000,2380.45000,7.49000,0.400700,,5545.00,,1.11,-0.012,[Fe/H],4.07,4.7617800
75 Cet b,75 Cet,1,2,1,691.90000000,2.100000,953.49000,3.00000,0.117000,,4846.00,10.50,2.49,0.000,[Fe/H],2.63,5.0934300
8 UMi b,8 UMi,1,1,1,93.40000000,0.490000,416.35730,1.31000,0.060000,,4847.00,10.30,1.44,-0.030,[Fe/H],2.57,6.5589600
8 UMi b,8 UMi,0,1,1,93.40000000,0.490000,476.74500,1.50000,0.060000,,4847.40,9.90,1.80,-0.030,[Fe/H],2.57,6.5589600
81 Cet b,81 Cet,1,1,1,952.70000000,2.500000,1684.40000,5.30000,0.206000,,4785.00,11.00,2.40,-0.060,[Fe/H],2.35,5.3758800
81 Cet b,81 Cet,0,1,1,,2.170000,1274.40000,4.01000,,,,,1.60,,,,5.3758800
91 Aqr b,91 Aqr,1,3,1,181.40000000,0.700000,1017.00000,3.20000,0.027000,,4665.00,11.00,1.40,-0.030,[Fe/H],2.52,3.9531100
AB Pic b,AB Pic,1,1,1,,260.000000,4290.50000,13.50000,,,,,,,,,8.8378000
AU Mic b,AU Mic,1,1,1,8.46321000,0.066000,57.20940,0.18000,0.100000,,3700.00,0.75,0.50,,,,7.8403800
BD+03 2562 b,BD+03 2562,1,1,1,481.90000000,1.300000,2034.11200,6.40000,0.200000,,4095.00,32.35,1.14,-0.710,[Fe/H],1.89,8.9977000
BD+14 4559 b,BD+14 4559,1,1,1,268.94000000,0.780000,330.54320,1.04000,0.290000,,4864.00,0.86,0.49,0.170,[Fe/H],4.26,9.3510800
BD+14 4559 b,BD+14 4559,0,1,1,268.94000000,0.777000,467.19000,1.47000,0.290000,,5008.00,0.95,0.86,0.100,[Fe/H],4.60,9.3510800
BD+15 2375 b,BD+15 2375,1,1,1,153.22000000,0.576000,337.21763,1.06100,0.001000,,4649.00,8.95,1.08,-0.220,[Fe/H],2.61,9.9918000
BD+15 2940 b,BD+15 2940,1,1,1,137.48000000,0.539000,352.78000,1.11000,0.260000,,4796.00,14.70,1.10,0.280,[Fe/H],2.80,8.7178000
BD+20 2457 b,BD+20 2457,0,1,2,379.63000000,1.450000,6807.63000,21.42000,0.150000,,4137.00,49.00,2.80,-1.000,[Fe/H],1.51,9.2268400
BD+20 2457 b,BD+20 2457,1,1,2,379.63000000,1.050000,17668.16970,55.59000,0.150000,,4259.00,71.02,10.83,-0.790,[Fe/H],1.77,9.2268400
BD+20 2457 c,BD+20 2457,1,1,2,621.99000000,2.010000,3963.17000,12.47000,0.180000,,4137.00,49.00,2.80,-1.000,[Fe/H],1.51,9.2268400
BD+20 274 b,BD+20 274,1,1,1,578.20000000,1.300000,1334.88600,4.20000,0.210000,,4296.00,17.30,0.80,-0.460,[Fe/H],1.99,8.9161300
BD+20 594 b,BD+20 594,1,1,1,41.68550000,,22.24810,0.07000,0.000000,,5766.00,1.08,1.67,-0.150,[Fe/H],4.50,10.8644000
BD+20 594 b,BD+20 594,0,1,1,41.68864400,,,,,,5703.00,0.96,,-0.060,[Fe/H],4.38,10.8644000
BD+20 594 b,BD+20 594,0,1,1,41.68864400,,,,,,5703.00,0.96,0.96,-0.060,[Fe/H],4.38,10.8644000
BD+20 594 b,BD+20 594,0,1,1,41.68550000,0.241000,16.30000,0.05129,0.000000,546,5766.00,0.93,0.96,-0.150,[Fe/H],4.50,10.8644000
BD+48 738 b,BD+48 738,1,1,1,392.60000000,1.000000,289.22530,0.91000,0.200000,,4414.00,11.00,0.74,-0.200,[Fe/H],2.24,8.6556900
BD+48 740 b,BD+48 740,1,1,1,733.00000000,1.700000,540.31100,1.70000,0.760000,,4534.00,10.33,1.09,-0.130,[Fe/H],2.48,8.2644900
BD+49 828 b,BD+49 828,1,1,1,2590.00000000,4.200000,508.50000,1.60000,0.350000,,4943.00,7.60,1.52,-0.190,[Fe/H],2.85,9.0285100
BD-06 1339 b,BD-06 1339,1,1,2,3.87280000,0.042800,8.50000,0.02700,0.000000,,4324.00,,0.70,-0.140,[Fe/H],4.74,9.1067700
